GeneID,pvalue,medDSSLS,meanDSSLS,sdDSSLS,bon.pvalue,fdr.pvalue,TreePvalue
FBgn0030594,1.98e-51,0.38894301,0.327485611,0.832985596,2.03e-47,2.01e-47,0
FBgn0037513,1.84e-35,0.74356151,0.685880928,1.450043127,1.88e-31,9.32e-32,0
FBgn0036764,6.93e-32,0.01783404,0.215840556,0.683754799,7.08e-28,2.34e-28,0
FBgn0035216,3.65e-24,0.03173954,0.184637521,0.764100261,3.73e-20,7.41e-21,0
FBgn0051546,5.08e-19,0.08756332,0.259655869,0.791527392,5.19e-15,6.45e-16,0
FBgn0037970,1.77e-18,0.03775747,0.145417342,0.667725517,1.81e-14,2e-15,0
FBgn0039601,2.52e-17,0.00217619,-0.0077922,0.142667529,2.57e-13,2.55e-14,0
FBgn0040349,1.3e-14,0.05085099,0.200151657,0.673905831,1.33e-10,1.1e-11,0
FBgn0036486,5.02e-12,0.00590044,-0.011827464,0.175682766,5.13e-08,2.99e-09,0
FBgn0261523,7.19e-11,0.81095029,0.455523217,0.893079588,7.35e-07,3.84e-08,0
FBgn0033883,1.74e-10,0.00411031,-0.009018479,0.156004965,1.78e-06,8.01e-08,0
FBgn0260745,2.49e-10,0.00831414,0.000526204,0.159892988,2.54e-06,1.1e-07,0
FBgn0034411,1.15e-09,0.09780628,0.243983026,0.954665891,1.17e-05,4.48e-07,0
FBgn0040227,1.65e-09,0.00601123,0.006395465,0.156583453,1.69e-05,6.21e-07,0
FBgn0052845,5.87e-09,0.08360089,0.168573636,1.082719963,6e-05,2.05e-06,0
FBgn0036158,8.47e-09,0.02964439,0.161254467,0.619732794,8.65e-05,2.72e-06,0
FBgn0263076,2.62e-07,0.00421011,-0.000342671,0.129335151,0.002676639,6.48e-05,0
FBgn0024957,7.71e-07,0.01451087,-0.004532124,0.153625202,0.007880729,0.000173894,0
FBgn0039698,8.51e-07,0.00288229,-0.005692442,0.12528298,0.008694961,0.00018769,0
FBgn0053768,1.83e-06,0.03408618,0.117967376,0.62634561,0.018744469,0.000387759,0
FBgn0039092,2.04e-06,0.00374895,0.021904168,0.493804697,0.020899238,0.000415041,0
FBgn0024510,3.55e-05,0.00330621,-0.008876954,0.148504417,0.362650409,0.006001605,0
FBgn0032477,3.68e-05,0.0112681,-0.029138756,0.289741598,0.376288505,0.006125218,0
FBgn0050491,4.56e-05,0.00812137,0.075886111,0.43965482,0.466159744,0.007232447,0
FBgn0035642,9.74e-05,-0.00371503,0.067195056,0.676422897,0.99622167,0.01393247,0
FBgn0037360,0.000122146,0.0190293,-0.025633319,0.377326964,1,0.016755461,0
FBgn0030823,0.00015686,0.00019931,-0.000313645,0.026136356,1,0.020594901,0
FBgn0250789,0.000158251,0.00017723,-0.000779414,0.150194544,1,0.020594901,0
FBgn0030733,0.000184578,0.00854918,-0.005405615,0.615562661,1,0.023717156,0
FBgn0038220,0.000207849,0.01274523,-0.004887882,0.118739671,1,0.025730185,0
FBgn0016075,0.000294519,0.00231847,-0.0039164,0.101604981,1,0.035477846,0
FBgn0260969,0.000297076,0.05000755,0.160474379,0.747198026,1,0.035477846,0
FBgn0085370,0.000301904,0.01707318,-0.000814496,0.216487788,1,0.03563516,0
FBgn0261837,0.000359869,0.00534285,-0.003053609,0.090207413,1,0.041045303,0
FBgn0034535,0.000506473,0.00957582,-0.016099341,0.223953907,1,0.055281794,0
FBgn0033580,0.000547395,0.05045653,-0.158886716,0.78177259,1,0.058490548,0
FBgn0024251,0.000755703,0.00886487,-0.006476685,0.123387193,1,0.077396769,0
FBgn0004244,0.000859664,0.00209237,-0.182448748,0.7769707,1,0.08640053,0
FBgn0052677,0.000967898,0.00300178,-0.003531088,0.092994731,1,0.096324805,0
FBgn0030664,0.0009889,0.10795377,0.117583788,0.721197673,1,0.097459428,0
FBgn0261854,0.001117989,0.00138097,-0.003065991,0.151833049,1,0.108082965,0
FBgn0259247,0.001384882,0.00222518,-0.000351339,0.05463911,1,0.128461008,0
