"","V1"
"1","Dgri.FBpp0157389;Dgri.FBpp0159184;Dgri.FBpp0154149"
"2","Dgri.FBpp0151706;Dgri.FBpp0157656;Dgri.FBpp0154176"
"3","Dgri.FBpp0144812;Dgri.FBpp0144813;Dgri.FBpp0144809"
"4","Dgri.FBpp0153562;Dgri.FBpp0156173;Dgri.FBpp0154384"
"5","Dgri.FBpp0145702;Dgri.FBpp0151902;Dgri.FBpp0144439"
"6","Dgri.FBpp0152787;Dgri.FBpp0156340;Dgri.FBpp0158470"
"7","Dgri.FBpp0147167;Dgri.FBpp0147545;Dgri.FBpp0159157"
"8","Dgri.FBpp0148967;Dgri.FBpp0148968;Dgri.FBpp0157405"
"9","Sfla.augustus_masked-scaffold00989-abinit-gene-0.0-mRNA-1_AED:0.32_eAED:0.32_QI:0_0_0_0.92_1_1_13_0_2040;Sfla.augustus_masked-scaffold01353-abinit-gene-0.2-mRNA-1_AED:0.04_eAED:0.04_QI:0_0_0_0.92_1_1_13_0_2040;Sfla.augustus_masked-scaffold03034-abinit-gene-0.0-mRNA-1_AED:0.29_eAED:0.29_QI:0_0_0_0.8_1_1_5_0_703;Dmel.FBgn0023096,FBpp0271926,FBtr0273418"
"10","Dmoj.FBpp0169446;Dmoj.FBpp0169447;Dmoj.FBpp0169445"
"11","Dmoj.FBpp0159726;Dmoj.FBpp0172424;Dmoj.FBpp0159737"
"12","Dmoj.FBpp0170509;Dmoj.FBpp0170520;Dmoj.FBpp0170531"
"13","Dmoj.FBpp0171808;Dmoj.FBpp0171811;Dmoj.FBpp0159369"
"14","Dpse.FBpp0274244;Dpse.FBpp0277225;Dpse.FBpp0275343"
"15","Dpse.FBpp0308174;Dpse.FBpp0308175;Dpse.FBpp0308173"
"16","Dpse.FBpp0307500;Dpse.FBpp0307501;Dpse.FBpp0307499"
"17","Dpse.FBpp0279844;Dpse.FBpp0301234;Dpse.FBpp0279845"
"18","Dpse.FBpp0280794;Dpse.FBpp0280795;Dpse.FBpp0280793"
"19","Dpse.FBpp0282953;Dpse.FBpp0301936;Dpse.FBpp0283079"
"20","Dpse.FBpp0283517;Dpse.FBpp0283519;Dpse.FBpp0283516"
"21","Dpse.FBpp0283550;Dpse.FBpp0297021;Dpse.FBpp0274199"
"22","Dpse.FBpp0279390;Dpse.FBpp0279391;Dpse.FBpp0279389"
"23","Dpse.FBpp0272457;Dpse.FBpp0279397;Dpse.FBpp0287361"
"24","Dpse.FBpp0279546;Dpse.FBpp0285069;Dpse.FBpp0288121"
"25","Dpse.FBpp0288155;Dpse.FBpp0288239;Dpse.FBpp0288238"
"26","Dsuz.DS10_00011267;Dsuz.DS10_00012457;Dsuz.DS10_00011266"
"27","Dsuz.DS10_00010910;Dsuz.DS10_00009059;Dmel.FBgn0261953,FBpp0305656,FBtr0333466"
"28","Dsuz.DS10_00008949;Dsuz.DS10_00008950;Dsuz.DS10_00009254"
"29","Dyak.FBpp0264817;Dyak.FBpp0267827;Dmel.FBgn0052150,FBpp0075290,FBtr0075535"
"30","Dyak.FBpp0269521;Dyak.FBpp0271213;Dyak.FBpp0269579"
"31","Dyak.FBpp0265506;Dyak.FBpp0265507;Dyak.FBpp0265508"
"32","Dyak.FBpp0264814;Dyak.FBpp0268140;Dmel.FBgn0000489,FBpp0075283,FBtr0075528"
"33","Dyak.FBpp0264813;Dyak.FBpp0268139;Dyak.FBpp0269327"
"34","Sfla.augustus_masked-scaffold00575-abinit-gene-0.2-mRNA-1_AED:0.35_eAED:0.35_QI:0_0_0_1_1_1_5_0_643;Sfla.augustus_masked-scaffold03241-abinit-gene-0.1-mRNA-1_AED:0.27_eAED:0.27_QI:0_0_0_1_1_1_5_0_643;Sfla.augustus_masked-scaffold00575-abinit-gene-0.1-mRNA-1_AED:0.34_eAED:0.35_QI:0_0_0_1_1_1_6_0_688"
"35","Sfla.augustus_masked-scaffold00258-abinit-gene-0.13-mRNA-1_AED:0.35_eAED:0.35_QI:0_-1_0_1_-1_1_1_0_476;Sfla.augustus_masked-scaffold00258-abinit-gene-0.14-mRNA-1_AED:0.35_eAED:0.35_QI:0_-1_0_1_-1_1_1_0_476;Sfla.augustus_masked-scaffold00258-abinit-gene-0.12-mRNA-1_AED:0.35_eAED:0.35_QI:0_-1_0_1_-1_1_1_0_476"
"36","Sfla.augustus_masked-scaffold00739-abinit-gene-0.6-mRNA-1_AED:0.26_eAED:0.26_QI:0_-1_0_1_-1_1_1_0_606;Sfla.augustus_masked-scaffold00739-abinit-gene-0.7-mRNA-1_AED:0.25_eAED:0.25_QI:0_-1_0_1_-1_1_1_0_596;Sfla.augustus_masked-scaffold04303-abinit-gene-0.0-mRNA-1_AED:0.29_eAED:0.29_QI:0_-1_0_1_-1_1_1_0_495"
"37","Sfla.augustus_masked-scaffold00553-abinit-gene-0.1-mRNA-1_AED:0.35_eAED:0.35_QI:0_0_0_0.33_1_1_3_0_814;Sfla.augustus_masked-scaffold02376-abinit-gene-0.0-mRNA-1_AED:0.36_eAED:0.37_QI:0_0_0_0.33_1_1_3_0_786;Sfla.augustus_masked-scaffold03504-abinit-gene-0.0-mRNA-1_AED:0.57_eAED:0.57_QI:0_0_0_0.5_1_1_2_0_530"
